name,d,Toffoli,CNOT,1-qubit
perm_opt,1,0.8490566037735849,2.8333333333333335,1.4851485148514851
perm,1,90.0,42.0,162.0
oldcount,1,128.0,16.0,105.0
optcount,1,128.0,16.0,105.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.703125,2.625,1.542857142857143
perm,1,90.0,30.0,144.0
oldcount,1,64.0,10.0,65.0
optcount,1,64.0,10.0,65.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.40625,3.0,2.2153846153846155
perm,1,90.0,46.0,168.0
oldcount,1,136.0,18.0,101.0
optcount,1,136.0,18.0,101.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6617647058823529,2.5555555555555554,1.6633663366336633
perm,1,90.0,50.0,174.0
oldcount,1,132.0,20.0,83.0
optcount,1,132.0,20.0,83.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6818181818181818,2.5,2.0963855421686746
perm,1,90.0,42.0,162.0
oldcount,1,106.0,16.0,83.0
optcount,1,106.0,16.0,83.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8490566037735849,2.625,1.9518072289156627
perm,1,90.0,38.0,156.0
oldcount,1,88.0,14.0,75.0
optcount,1,88.0,14.0,75.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0227272727272727,2.7142857142857144,2.08
perm,1,90.0,22.0,132.0
oldcount,1,34.0,6.0,41.0
optcount,1,34.0,6.0,41.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.6470588235294117,3.6666666666666665,3.2195121951219514
perm,1,90.0,22.0,132.0
oldcount,1,36.0,6.0,43.0
optcount,1,36.0,6.0,43.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.5,3.6666666666666665,3.0697674418604652
perm,51,4898.0,2028.0,7683.0
oldcount,51,4942.0,582.0,2309.0
optcount,51,4528.0,532.0,2199.0
opt_old,51,0.9162282476730069,0.9140893470790378,0.9523603291468168
perm_opt,51,1.0817137809187278,3.81203007518797,3.4938608458390177
perm,51,4898.0,1996.0,7643.0
oldcount,51,4848.0,564.0,2269.0
optcount,51,4382.0,502.0,2153.0
opt_old,51,0.9038778877887789,0.8900709219858156,0.9488761568973116
perm_opt,51,1.1177544500228207,3.9760956175298805,3.5499303297724105
perm,51,4898.0,1992.0,7621.0
oldcount,51,5074.0,580.0,2355.0
optcount,51,4568.0,520.0,2217.0
opt_old,51,0.9002759164367363,0.896551724137931,0.9414012738853503
perm_opt,51,1.0722416812609457,3.830769230769231,3.437528191249436
perm,51,4898.0,2032.0,7697.0
oldcount,51,4820.0,562.0,2257.0
optcount,51,4342.0,502.0,2111.0
opt_old,51,0.9008298755186722,0.8932384341637011,0.9353123615418697
perm_opt,51,1.1280515891294334,4.047808764940239,3.6461392704879203
perm,51,4898.0,1988.0,7635.0
oldcount,51,4860.0,558.0,2313.0
optcount,51,4578.0,522.0,2241.0
opt_old,51,0.9419753086419753,0.9354838709677419,0.9688715953307393
perm_opt,51,1.0698995194408039,3.8084291187739465,3.4069611780455156
perm,51,4898.0,2196.0,7971.0
oldcount,51,5440.0,644.0,2563.0
optcount,51,4860.0,570.0,2383.0
opt_old,51,0.8933823529411765,0.8850931677018633,0.9297698010144362
perm_opt,51,1.0078189300411522,3.8526315789473684,3.3449433487201006
perm,51,4898.0,2048.0,7737.0
oldcount,51,4884.0,580.0,2299.0
optcount,51,4386.0,514.0,2141.0
opt_old,51,0.898034398034398,0.8862068965517241,0.9312744671596346
perm_opt,51,1.116735066119471,3.9844357976653697,3.61373190098085
perm,51,4898.0,2008.0,7669.0
oldcount,51,4996.0,570.0,2319.0
optcount,51,4494.0,510.0,2207.0
opt_old,51,0.899519615692554,0.8947368421052632,0.9517033203967227
perm_opt,51,1.0898976412995105,3.937254901960784,3.474852741277753
perm,51,4898.0,2020.0,7683.0
oldcount,51,5234.0,602.0,2437.0
optcount,51,4916.0,562.0,2365.0
opt_old,51,0.9392434084829958,0.9335548172757475,0.9704554780467788
perm_opt,51,0.9963384865744508,3.5943060498220643,3.2486257928118394
perm,51,4898.0,2092.0,7803.0
oldcount,51,5174.0,606.0,2501.0
optcount,51,4794.0,552.0,2363.0
opt_old,51,0.9265558562040974,0.9108910891089109,0.9448220711715314
perm_opt,51,1.0216937838965374,3.789855072463768,3.302158273381295
perm,51,4898.0,2032.0,7693.0
oldcount,51,4962.0,578.0,2345.0
optcount,51,4616.0,532.0,2239.0
opt_old,51,0.9302700523982266,0.9204152249134948,0.9547974413646055
perm_opt,51,1.0610918544194108,3.819548872180451,3.435908887896382
perm,51,4898.0,2004.0,7655.0
oldcount,51,5028.0,586.0,2387.0
optcount,51,4618.0,534.0,2271.0
opt_old,51,0.9184566428003182,0.9112627986348123,0.951403435274403
perm_opt,51,1.060632308358597,3.752808988764045,3.3707617789520037
perm,51,4898.0,1936.0,7525.0
oldcount,51,4876.0,558.0,2269.0
optcount,51,4398.0,504.0,2143.0
opt_old,51,0.9019688269073011,0.9032258064516129,0.9444689290436316
perm_opt,51,1.11368804001819,3.8412698412698414,3.5114325711619228
perm,51,4898.0,2056.0,7721.0
oldcount,51,5176.0,608.0,2401.0
optcount,51,4824.0,562.0,2317.0
opt_old,51,0.9319938176197836,0.9243421052631579,0.9650145772594753
perm_opt,51,1.015339966832504,3.6583629893238436,3.3323262839879155
perm,51,4898.0,2084.0,7795.0
oldcount,51,5108.0,584.0,2363.0
optcount,51,4532.0,512.0,2191.0
opt_old,51,0.8872357086922474,0.8767123287671232,0.9272111722386797
perm_opt,51,1.0807590467784642,4.0703125,3.557736193518941
perm,51,4898.0,2108.0,7843.0
oldcount,51,4834.0,592.0,2357.0
optcount,51,4436.0,534.0,2209.0
opt_old,51,0.9176665287546545,0.902027027027027,0.9372083156554942
perm_opt,51,1.1041478809738503,3.947565543071161,3.5504753282028068
perm,51,4898.0,1948.0,7551.0
oldcount,51,5054.0,572.0,2339.0
optcount,51,4830.0,542.0,2275.0
opt_old,51,0.9556786703601108,0.9475524475524476,0.9726378794356563
perm_opt,51,1.0140786749482402,3.5940959409594098,3.319120879120879
perm,51,4898.0,2136.0,7885.0
oldcount,51,4994.0,588.0,2345.0
optcount,51,4584.0,532.0,2197.0
opt_old,51,0.9179014817781338,0.9047619047619048,0.9368869936034115
perm_opt,51,1.068499127399651,4.015037593984962,3.588984979517524
perm,51,4898.0,2088.0,7833.0
oldcount,51,4564.0,552.0,2235.0
optcount,51,4004.0,482.0,2063.0
opt_old,51,0.8773006134969326,0.8731884057971014,0.9230425055928412
perm_opt,51,1.2232767232767232,4.331950207468879,3.7968977217644206
perm,51,4898.0,2088.0,7781.0
oldcount,51,5244.0,612.0,2401.0
optcount,51,4656.0,540.0,2263.0
opt_old,51,0.8878718535469108,0.8823529411764706,0.9425239483548521
perm_opt,51,1.0519759450171822,3.8666666666666667,3.4383561643835616
perm,51,4898.0,2132.0,7867.0
oldcount,51,5396.0,620.0,2537.0
optcount,51,5002.0,570.0,2441.0
opt_old,51,0.9269829503335805,0.9193548387096774,0.9621600315333071
perm_opt,51,0.9792083166733306,3.7403508771929825,3.2228594838181075
perm,51,4898.0,2004.0,7691.0
oldcount,51,4546.0,548.0,2145.0
optcount,51,4056.0,482.0,2025.0
opt_old,51,0.8922129344478662,0.8795620437956204,0.9440559440559441
perm_opt,51,1.207593688362919,4.157676348547718,3.798024691358025
perm,51,4898.0,2076.0,7779.0
oldcount,51,4944.0,588.0,2351.0
optcount,51,4472.0,524.0,2187.0
opt_old,51,0.9045307443365695,0.891156462585034,0.9302424500212676
perm_opt,51,1.0952593917710196,3.9618320610687023,3.5569272976680386
perm,51,4898.0,1988.0,7611.0
oldcount,51,5166.0,608.0,2477.0
optcount,51,4624.0,538.0,2297.0
opt_old,51,0.8950832365466512,0.8848684210526315,0.9273314493338716
perm_opt,51,1.059256055363322,3.6951672862453533,3.3134523291249454
perm,51,4898.0,1996.0,7663.0
oldcount,51,4780.0,556.0,2281.0
optcount,51,4410.0,510.0,2181.0
opt_old,51,0.9225941422594143,0.9172661870503597,0.9561595791319597
perm_opt,51,1.110657596371882,3.9137254901960783,3.513525905547914
perm,51,4898.0,2088.0,7781.0
oldcount,51,5400.0,614.0,2507.0
optcount,51,5106.0,576.0,2423.0
opt_old,51,0.9455555555555556,0.9381107491856677,0.9664938173115277
perm_opt,51,0.9592636114375245,3.625,3.2113082955014445
perm,51,4838.0,1940.0,7501.0
oldcount,51,4804.0,550.0,2251.0
optcount,51,4454.0,506.0,2155.0
opt_old,51,0.9271440466278101,0.92,0.9573522878720568
perm_opt,51,1.0862146385271665,3.83399209486166,3.4807424593967515
perm,51,4898.0,2080.0,7777.0
oldcount,51,4762.0,556.0,2277.0
optcount,51,4202.0,490.0,2117.0
